Província,Tipus de fet,Àmbit fet,Sexe,Edat,Nombre víctimes,Date,Municipi_clean,Comarca_clean,Rol_autor,Rol_victima
barcelona,delicte,lgtbi fobia,dona,44,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,altres,lgtbi fobia,home,35,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,altres,lgtbi fobia,home,35,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,altres,lgtbi fobia,dona,60,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,37,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,26,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,39,1,2023-09-01,resta municipis,barcelones,False,True
lleida,delicte,lgtbi fobia,home,14,1,2023-09-01,resta municipis,segria,True,False
lleida,delicte,lgtbi fobia,dona,13,1,2023-09-01,resta municipis,segria,False,True
barcelona,delicte,antigitanisme,dona,34,1,2023-09-01,resta municipis,valles occidental,False,True
barcelona,delicte,antigitanisme,home,47,1,2023-09-01,resta municipis,valles occidental,True,False
barcelona,delicte,lgtbi fobia,home,44,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,50,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,56,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,45,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,36,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,32,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,40,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,40,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,61,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,44,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,39,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,40,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,31,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,altres,etnic/origen nacional/origen racial,dona,42,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,altres,etnic/origen nacional/origen racial,dona,57,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,17,1,2023-09-01,resta municipis,bages,False,True
barcelona,delicte,lgtbi fobia,home,17,1,2023-09-01,resta municipis,bages,True,False
barcelona,delicte,lgtbi fobia,dona,20,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,dona,40,1,2023-09-01,resta municipis,barcelones,True,False
girona,delicte,etnic/origen nacional/origen racial,home,59,1,2023-09-01,resta municipis,selva,True,False
girona,delicte,etnic/origen nacional/origen racial,dona,42,1,2023-09-01,resta municipis,selva,False,True
tarragona,delicte,lgtbi fobia,home,42,1,2023-09-01,resta municipis,montsia,False,True
tarragona,delicte,lgtbi fobia,home,37,1,2023-09-01,resta municipis,montsia,True,False
tarragona,delicte,islamofobia,home,65,1,2023-09-01,resta municipis,baix ebre,True,False
tarragona,delicte,islamofobia,home,49,1,2023-09-01,resta municipis,baix ebre,False,True
barcelona,delicte,lgtbi fobia,dona,30,1,2023-09-01,resta municipis,valles oriental,False,True
barcelona,delicte,lgtbi fobia,home,16,1,2023-09-01,resta municipis,maresme,False,True
barcelona,delicte,lgtbi fobia,dona,15,1,2023-09-01,resta municipis,maresme,True,False
barcelona,delicte,lgtbi fobia,dona,17,1,2023-09-01,resta municipis,maresme,True,False
barcelona,delicte,lgtbi fobia,dona,16,1,2023-09-01,resta municipis,maresme,True,False
barcelona,delicte,lgtbi fobia,home,35,1,2023-09-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,18,1,2023-09-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,18,1,2023-09-01,resta municipis,valles occidental,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,15,1,2023-09-01,resta municipis,valles occidental,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,15,1,2023-09-01,resta municipis,valles occidental,False,True
barcelona,delicte,sexisme,home,31,1,2023-09-01,resta municipis,alt penedes,True,False
barcelona,delicte,sexisme,dona,28,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,29,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,26,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,27,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,27,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,25,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,24,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,28,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,25,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,sexisme,dona,25,1,2023-09-01,resta municipis,alt penedes,False,True
barcelona,delicte,lgtbi fobia,home,12,1,2023-09-01,resta municipis,maresme,False,True
tarragona,delicte,lgtbi fobia,home,33,1,2023-10-01,resta municipis,alt camp,True,False
tarragona,delicte,lgtbi fobia,home,33,1,2023-10-01,resta municipis,alt camp,False,True
tarragona,delicte,lgtbi fobia,home,37,1,2023-10-01,resta municipis,alt camp,True,False
tarragona,delicte,lgtbi fobia,home,37,1,2023-10-01,resta municipis,alt camp,False,True
tarragona,delicte,lgtbi fobia,home,34,1,2023-10-01,resta municipis,alt camp,True,False
tarragona,delicte,lgtbi fobia,home,34,1,2023-10-01,resta municipis,alt camp,False,True
lleida,delicte,etnic/origen nacional/origen racial,home,28,1,2023-10-01,resta municipis,segria,True,False
lleida,delicte,etnic/origen nacional/origen racial,home,32,1,2023-10-01,resta municipis,segria,True,False
lleida,delicte,etnic/origen nacional/origen racial,home,32,1,2023-10-01,resta municipis,segria,False,True
lleida,delicte,etnic/origen nacional/origen racial,home,37,1,2023-10-01,resta municipis,segria,True,False
lleida,delicte,etnic/origen nacional/origen racial,home,37,1,2023-10-01,resta municipis,segria,False,True
barcelona,altres,etnic/origen nacional/origen racial,home,46,1,2023-10-01,resta municipis,barcelones,True,False
barcelona,altres,etnic/origen nacional/origen racial,home,38,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,56,1,2023-10-01,resta municipis,valles occidental,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,38,1,2023-10-01,resta municipis,valles occidental,False,True
tarragona,delicte,lgtbi fobia,home,57,1,2023-10-01,resta municipis,ribera debre,False,True
tarragona,delicte,lgtbi fobia,home,56,1,2023-10-01,resta municipis,ribera debre,True,False
barcelona,altres,lgtbi fobia,home,27,1,2023-10-01,resta municipis,barcelones,False,True
tarragona,infraccio administrativa,lgtbi fobia,home,33,1,2023-10-01,resta municipis,alt camp,True,False
tarragona,infraccio administrativa,lgtbi fobia,home,37,1,2023-10-01,resta municipis,alt camp,False,True
tarragona,infraccio administrativa,lgtbi fobia,home,34,1,2023-10-01,resta municipis,alt camp,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,19,1,2023-10-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,19,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,22,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,24,1,2023-10-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,24,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,35,1,2023-10-01,resta municipis,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,23,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,delicte,religios,home,40,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,altres,etnic/origen nacional/origen racial,home,75,1,2023-10-01,resta municipis,baix llobregat,True,False
barcelona,altres,etnic/origen nacional/origen racial,home,51,1,2023-10-01,resta municipis,baix llobregat,False,True
barcelona,altres,etnic/origen nacional/origen racial,dona,37,1,2023-10-01,resta municipis,baix llobregat,False,True
barcelona,altres,etnic/origen nacional/origen racial,dona,35,1,2023-10-01,resta municipis,baix llobregat,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,13,1,2023-10-01,resta municipis,maresme,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,13,1,2023-10-01,resta municipis,maresme,False,True
barcelona,infraccio administrativa,lgtbi fobia,home,30,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,59,1,2023-10-01,resta municipis,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,46,1,2023-10-01,resta municipis,bages,True,False
